"
Sutton United
","
Leeds United
"
Starting XI
1,R. Worner,[],12,M. Silvestri,[]
2,K. Amankwaah,[],6,L. Cooper,"[('yellow-card', ""18'""), ('sec-yellow-card', ""82'"")]"
27,S. Downer,[],33,T. Denton,"[('yellow-card', ""32'"")]"
17,D. Spence,[],31,L. Coyle,[]
15,C. Eastmond,"[('sub-out', ""90'+"")]",34,P. McKay,[]
12,A. May,[],37,B. Whitehouse,"[('sub-out', ""73'"")]"
16,N. Bailey,"[('yellow-card', ""76'"")]",16,M. Grimes,[]
8,B. Gomis,[],23,K. Phillips,[]
6,J. Collins,[],15,S. Dallas,"[('sub-out', ""57'"")]"
21,R. Deacon,"[('yellow-card', ""40'"")]",10,M. Antonsson,[]
24,M. Biamou,[],11,S. Doukara,"[('sub-out', ""64'"")]"
