"
Vancouver Whitecaps
","
LA Galaxy
"
Starting XI
1,D. Ousted,[],31,C. Diop,[]
4,K. Waston,[],16,N. Smith,[]
26,T. Parker,[],37,J. Van Damme,[]
25,S. Williams,[],3,A. Cole,"[('sub-out', ""82'"")]"
2,J. Harvey,"[('sub-out', ""90'+"")]",5,D. Steres,[]
67,A. Davies,[],8,João Pedro,[]
8,A. Jacobson,"[('sub-out', ""64'"")]",24,E. Boateng,"[('sub-out', ""79'"")]"
7,C. Bolaños,[],13,J. Jones,"[('yellow-card', ""77'"")]"
13,C. Techera,[],7,R. Alessandrini,[]
15,M. Laba,[],10,G. dos Santos,[]
19,E. Hurtado,"[('sub-out', ""46'"")]",32,J. McBean,"[('yellow-card', ""60'""), ('sub-out', ""67'"")]"
