"
Toronto
","
Atlanta United
"
Starting XI
25,A. Bono,[],25,A. Kann,[]
33,S. Beitashour,"[('sub-out', ""82'"")]",3,M. Parkhurst,[]
2,J. Morrow,[],5,L. González Pírez,[]
15,E. Zavaleta,[],2,T. Mears,[]
3,D. Moor,[],4,G. Garza,[]
23,C. Mavinga,"[('sub-out', ""51'"")]",14,C. Carmona,[]
31,A. Cooper,[],24,J. Gressel,"[('sub-out', ""90'+"")]"
4,M. Bradley,[],18,J. Larentowicz,"[('yellow-card', ""10'"")]"
7,Víctor Vázquez,"[('sub-out', ""73'"")]",10,M. Almirón,"[('sub-out', ""82'"")]"
17,J. Altidore,[],15,H. Villalba,"[('yellow-card', ""18'""), ('sub-out', ""84'"")]"
10,S. Giovinco,[],11,Y. Asad,"[('red-card', ""75'"")]"
