"
Huddersfield Town
","
Manchester City
"
Starting XI
13,J. Coleman,[],1,C. Bravo,[]
12,T. Holmes-Dennis,[],30,N. Otamendi,[]
5,M. Hudson,[],24,J. Stones,[]
14,M. Cranie,[],5,P. Zabaleta,[]
17,R. van La Parra,"[('sub-out', ""59'"")]",11,A. Kolarov,"[('yellow-card', ""25'""), ('sub-out', ""78'"")]"
16,J. Payne,"[('sub-out', ""72'"")]",6,Fernando,[]
27,J. Stankovič,[],25,Fernandinho,[]
8,P. Billing,[],18,F. Delph,"[('sub-out', ""69'"")]"
4,D. Whitehead,[],15,Jesús Navas,[]
23,C. Quaner,[],10,S. Agüero,[]
18,J. Lolley,"[('sub-out', ""59'"")]",9,Nolito,"[('sub-out', ""69'"")]"
